featureId,featurename,project,category,sub_category,data_type,description,status,source,owner
2078,IndustryNewsCard7dWStatNavCTR,WPO,wpo_sdcard,IndustryNewsCard,double,,active,WPOFeatureLoadAPI.view,
2079,TrafficCardViewCount7dWStatSum,WPO,wpo_sdcard,TrafficCard,double,,active,WPOFeatureLoadAPI.view,
2080,SportsCardNonNavClicks30dWStatCount,WPO,wpo_sdcard,SportsCard,double,,active,WPOFeatureLoadAPI.view,
2081,CompanyNewsCardNonNavClicks30dWStatSum,WPO,wpo_sdcard,CompanyNewsCard,double,,active,WPOFeatureLoadAPI.view,
2082,SportsCard30dWStatCTR,WPO,wpo_sdcard,SportsCard,double,,active,WPOFeatureLoadAPI.view,
2083,CompanyNewsCardNonNavClicks7dWStatCount,WPO,wpo_sdcard,CompanyNewsCard,double,,active,WPOFeatureLoadAPI.view,
2084,TopStoriesCardViewCount30dWStatSum,WPO,wpo_sdcard,TopStoriesCard,double,,active,WPOFeatureLoadAPI.view,
2085,IndustryNewsCardNonNavClicks7dWStatCount,WPO,wpo_sdcard,IndustryNewsCard,double,,active,WPOFeatureLoadAPI.view,
2086,SportsCardNonNavClicks7dWStatCount,WPO,wpo_sdcard,SportsCard,double,,active,WPOFeatureLoadAPI.view,
2087,HealthTipCardNavClicks30dWStatSum,WPO,wpo_sdcard,HealthTipCard,double,,active,WPOFeatureLoadAPI.view,
2088,TopStoriesCard7dWStatNavCTR,WPO,wpo_sdcard,TopStoriesCard,double,,active,WPOFeatureLoadAPI.view,
2089,TopStoriesCardNonNavClicks30dWStatSum,WPO,wpo_sdcard,TopStoriesCard,double,,active,WPOFeatureLoadAPI.view,
2090,TrafficCardViewCount30dWStatSum,WPO,wpo_sdcard,TrafficCard,double,,active,WPOFeatureLoadAPI.view,
2091,SportsCardViewCount7dWStatSum,WPO,wpo_sdcard,SportsCard,double,,active,WPOFeatureLoadAPI.view,
2092,PrayerTimesCardViewCount7dWStatCount,WPO,wpo_sdcard,PrayerTimesCard,double,,active,WPOFeatureLoadAPI.view,
2093,WeatherCard30dWStatCTR,WPO,wpo_sdcard,WeatherCard,double,,active,WPOFeatureLoadAPI.view,
2094,TrendingNowCard30dWStatCTR,WPO,wpo_sdcard,TrendingNowCard,double,,active,WPOFeatureLoadAPI.view,
2095,RealEstateCardNavClicks7dWStatCount,WPO,wpo_sdcard,RealEstateCard,double,,active,WPOFeatureLoadAPI.view,
2096,TrafficCardNonNavClicks7dWStatSum,WPO,wpo_sdcard,TrafficCard,double,,active,WPOFeatureLoadAPI.view,
2097,PollsCardNavClicks30dWStatCount,WPO,wpo_sdcard,PollsCard,double,,active,WPOFeatureLoadAPI.view,
2098,PollsCardViewCount30dWStatCount,WPO,wpo_sdcard,PollsCard,double,,active,WPOFeatureLoadAPI.view,
2099,TravelCardNavClicks30dWStatSum,WPO,wpo_sdcard,TravelCard,double,,active,WPOFeatureLoadAPI.view,
2100,SportsCard7dWStatNavCTR,WPO,wpo_sdcard,SportsCard,double,,active,WPOFeatureLoadAPI.view,
2101,MoneyCard30dWStatCTR,WPO,wpo_sdcard,MoneyCard,double,,active,WPOFeatureLoadAPI.view,
2102,NextDoorCard30dWStatCTR,WPO,wpo_sdcard,NextDoorCard,double,,active,WPOFeatureLoadAPI.view,
2103,TravelCardNonNavClicks7dWStatSum,WPO,wpo_sdcard,TravelCard,double,,active,WPOFeatureLoadAPI.view,
2104,IndustryNewsCardNonNavClicks7dWStatSum,WPO,wpo_sdcard,IndustryNewsCard,double,,active,WPOFeatureLoadAPI.view,
2105,TrendingNowCard30dWStatNavCTR,WPO,wpo_sdcard,TrendingNowCard,double,,active,WPOFeatureLoadAPI.view,
2106,PrayerTimesCardNonNavClicks30dWStatCount,WPO,wpo_sdcard,PrayerTimesCard,double,,active,WPOFeatureLoadAPI.view,
2107,ShopCardNonNavClicks7dWStatCount,WPO,wpo_sdcard,ShopCard,double,,active,WPOFeatureLoadAPI.view,
2108,NextDoorCard7dWStatCTR,WPO,wpo_sdcard,NextDoorCard,double,,active,WPOFeatureLoadAPI.view,
2109,TravelCardNavClicks30dWStatCount,WPO,wpo_sdcard,TravelCard,double,,active,WPOFeatureLoadAPI.view,
2110,TrafficCardViewCount7dWStatCount,WPO,wpo_sdcard,TrafficCard,double,,active,WPOFeatureLoadAPI.view,
2111,FitnessCardNonNavClicks30dWStatSum,WPO,wpo_sdcard,FitnessCard,double,,active,WPOFeatureLoadAPI.view,
2112,AutosCardNavClicks30dWStatCount,WPO,wpo_sdcard,AutosCard,double,,active,WPOFeatureLoadAPI.view,
